CustomerId,Predicted,Churn_Prob,True_Exited
15656901,0,0.0730041200683158,0
15750264,1,0.8210307025221582,1
15709917,0,0.017427399160734398,0
15674851,0,0.3057025649302144,0
15663410,0,0.12643196322595773,0
15570855,0,0.010004111516597296,0
15603554,0,0.08135312211028568,0
15712121,0,0.08914888502636441,0
15813095,1,0.9224616541135606,1
15796958,1,0.5528737343944946,0
15585249,0,0.32272638593976044,0
15583480,0,0.05186548466095006,0
15651052,1,0.5101295274020015,1
15745324,1,0.9507476407990617,1
15673180,0,0.1272167058025451,0
15636700,0,0.06547138233271764,0
15574886,0,0.16044837009059074,0
15587038,0,0.055293868433216556,0
15604576,0,0.42567138456973275,0
15758025,0,0.033704403891474936,0
15661821,0,0.07204277925310298,0
15566030,0,0.02944565357232851,0
15757981,0,0.016747843284681586,0
15750808,0,0.009611398427038016,0
15593468,1,0.9446117455187584,1
15696047,0,0.14118725895860085,1
15697801,0,0.15560183831511598,0
15689612,0,0.1959498816013293,0
15661548,0,0.14581215940964,0
15765266,0,0.09771564606524753,0
15765461,0,0.37377333313520433,0
15781452,0,0.016433564626262904,0
15742854,0,0.029384621628899425,0
15774554,1,0.8696451548612085,1
15657527,0,0.04024177407644393,0
15713608,0,0.08910887667682509,0
15739592,0,0.012108864502313832,0
15610416,0,0.3152318793521548,1
15795895,0,0.02948417293956863,0
15764343,1,0.9106846759178655,1
15785875,0,0.2051292258056598,0
15612444,0,0.016751805356674036,0
15729763,0,0.009383696409830207,0
15778025,1,0.5574565369955548,0
15665062,0,0.04157744447752949,0
15737732,1,0.6731294749287724,1
15750447,0,0.08889879689361102,0
15728005,0,0.2001596268026091,0
15780256,0,0.03437232829771052,0
15682585,1,0.7098220680452254,1
15602762,1,0.625793124333497,1
15711572,1,0.9227877045718872,1
15718667,0,0.08719817563752064,0
15642394,0,0.008889276339676956,0
15642093,0,0.38609202007553806,0
15652266,0,0.04261881662355979,0
15605872,0,0.01709107443652922,0
15603840,0,0.03929881417230068,0
15640953,1,0.7730693600817939,1
15641629,1,0.7339882386910436,0
15756538,0,0.026427389929067062,0
15762928,1,0.668540020205771,1
15598751,0,0.04980262373777386,0
15736138,0,0.03904396911884658,0
15637324,0,0.3068593279767085,0
15646168,0,0.14293058994783617,0
15603065,0,0.48890912898265027,1
15731148,0,0.007859654241257829,0
15629519,0,0.019362865532411646,0
15690939,0,0.008735376111473488,0
15783398,0,0.2020743592683954,0
15683363,0,0.012839708881826522,0
15763665,0,0.29238625539456425,1
15665531,0,0.048823070059042205,0
15593694,1,0.6138203851414508,1
15796071,0,0.009170361863740156,0
15587562,0,0.026718027790322573,0
15803976,0,0.23802130020300802,1
15782939,0,0.09471994450040108,0
15791131,1,0.6629756419007068,0
15788042,0,0.00964111712700081,0
15713604,0,0.4842373936856704,1
15813132,0,0.04464882733716891,0
15617648,0,0.27723133655789556,0
15803406,0,0.03948303159731194,0
